Date;Euro;U,S, Dollar
3/01/2017;1,0385;1
4/01/2017;1,0437;1
5/01/2017;1,0501;1
6/01/2017;1,0589;1
9/01/2017;1,0516;1
10/01/2017;1,0567;1
11/01/2017;1,0503;1
12/01/2017;1,0679;1
13/01/2017;1,0661;1
17/01/2017;1,0684;1
18/01/2017;1,0664;1
19/01/2017;1,0668;1
23/01/2017;1,0715;1
24/01/2017;1,0748;1
25/01/2017;1,0743;1
26/01/2017;1,07;1
27/01/2017;1,0681;1
30/01/2017;1,063;1
31/01/2017;1,0755;1
1/02/2017;1,079;1
2/02/2017;1,0808;1
3/02/2017;1,0741;1
6/02/2017;1,0712;1
7/02/2017;1,0675;1
8/02/2017;1,0665;1
9/02/2017;1,0692;1
10/02/2017;1,0629;1
13/02/2017;1,0629;1
14/02/2017;1,0623;1
15/02/2017;1,0555;1
16/02/2017;1,0652;1
17/02/2017;1,065;1
21/02/2017;1,0537;1
22/02/2017;1,0513;1
23/02/2017;1,0573;1
24/02/2017;1,0609;1
27/02/2017;1,0587;1
28/02/2017;1,0597;1
1/03/2017;1,0533;1
2/03/2017;1,0514;1
3/03/2017;1,0565;1
6/03/2017;1,0592;1
7/03/2017;1,0576;1
8/03/2017;1,0556;1
9/03/2017;1,0551;1
10/03/2017;1,0606;1
13/03/2017;1,0663;1
14/03/2017;1,0631;1
15/03/2017;1,0622;1
16/03/2017;1,0726;1
17/03/2017;1,0737;1
20/03/2017;1,0752;1
21/03/2017;1,0802;1
22/03/2017;1,0807;1
23/03/2017;1,0786;1
24/03/2017;1,0805;1
27/03/2017;1,0889;1
28/03/2017;1,0859;1
29/03/2017;1,0748;1
30/03/2017;1,0737;1
31/03/2017;1,0691;1
3/04/2017;1,0661;1
4/04/2017;1,0651;1
5/04/2017;1,0678;1
6/04/2017;1,0666;1
7/04/2017;1,063;1
10/04/2017;1,0578;1
11/04/2017;1,0616;1
12/04/2017;1,0605;1
13/04/2017;1,063;1
14/04/2017;;1
17/04/2017;;1
18/04/2017;1,0682;1
19/04/2017;1,0725;1
20/04/2017;1,0745;1
21/04/2017;1,0698;1
24/04/2017;1,0848;1
25/04/2017;1,0891;1
26/04/2017;1,0893;1
27/04/2017;1,0881;1
28/04/2017;1,093;1
1/05/2017;;1
2/05/2017;1,0915;1
3/05/2017;1,0919;1
4/05/2017;1,0927;1
5/05/2017;1,0961;1
8/05/2017;1,0938;1
9/05/2017;1,0888;1
10/05/2017;1,0882;1
11/05/2017;1,086;1
12/05/2017;1,0876;1
15/05/2017;1,0972;1
16/05/2017;1,1059;1
17/05/2017;1,1117;1
18/05/2017;1,1129;1
19/05/2017;1,1179;1
22/05/2017;1,1243;1
23/05/2017;1,1215;1
24/05/2017;1,1193;1
25/05/2017;1,1214;1
26/05/2017;1,1196;1
30/05/2017;1,1173;1
31/05/2017;1,1221;1
1/06/2017;1,1219;1
2/06/2017;1,1217;1
5/06/2017;1,1249;1
6/06/2017;1,1258;1
7/06/2017;1,1217;1
8/06/2017;1,1229;1
9/06/2017;1,1176;1
12/06/2017;1,1221;1
13/06/2017;1,1217;1
14/06/2017;1,1203;1
15/06/2017;1,1166;1
16/06/2017;1,1167;1
19/06/2017;1,1199;1
20/06/2017;1,1156;1
21/06/2017;1,1147;1
22/06/2017;1,1169;1
23/06/2017;1,1173;1
26/06/2017;1,1187;1
27/06/2017;1,1278;1
28/06/2017;1,1375;1
29/06/2017;1,1413;1
30/06/2017;1,1412;1
3/07/2017;1,1369;1
5/07/2017;1,1329;1
6/07/2017;1,1385;1
7/07/2017;1,1412;1
10/07/2017;1,1387;1
11/07/2017;1,1405;1
12/07/2017;1,1449;1
13/07/2017;1,1417;1
14/07/2017;1,1415;1
17/07/2017;1,1462;1
18/07/2017;1,1555;1
19/07/2017;1,1533;1
20/07/2017;1,1485;1
21/07/2017;1,1642;1
24/07/2017;1,1648;1
25/07/2017;1,1694;1
26/07/2017;1,1644;1
27/07/2017;1,1694;1
28/07/2017;1,1729;1
31/07/2017;1,1727;1
1/08/2017;1,1812;1
2/08/2017;1,1829;1
3/08/2017;1,186;1
4/08/2017;1,1868;1
7/08/2017;1,1797;1
8/08/2017;1,1814;1
9/08/2017;1,1731;1
10/08/2017;1,1732;1
11/08/2017;1,1765;1
14/08/2017;1,1797;1
15/08/2017;1,1744;1
16/08/2017;1,171;1
17/08/2017;1,1697;1
18/08/2017;1,174;1
21/08/2017;1,1761;1
22/08/2017;1,1771;1
23/08/2017;1,1799;1
24/08/2017;1,1806;1
25/08/2017;1,1808;1
28/08/2017;1,1925;1
29/08/2017;1,2048;1
30/08/2017;1,1916;1
31/08/2017;1,1825;1
1/09/2017;1,192;1
5/09/2017;1,189;1
6/09/2017;1,1931;1
7/09/2017;1,1971;1
8/09/2017;1,206;1
11/09/2017;1,1997;1
12/09/2017;1,1933;1
13/09/2017;1,1979;1
14/09/2017;1,1885;1
15/09/2017;1,1963;1
18/09/2017;1,1948;1
19/09/2017;1,1972;1
20/09/2017;1,2007;1
21/09/2017;1,1905;1
22/09/2017;1,1961;1
25/09/2017;1,1867;1
26/09/2017;1,1787;1
27/09/2017;1,1741;1
28/09/2017;1,1778;1
29/09/2017;1,1806;1
2/10/2017;1,1744;1
3/10/2017;1,1753;1
4/10/2017;1,1787;1
5/10/2017;1,1742;1
6/10/2017;1,1707;1
10/10/2017;1,1797;1
11/10/2017;1,183;1
12/10/2017;1,1856;1
13/10/2017;1,181;1
16/10/2017;1,1803;1
17/10/2017;1,1759;1
18/10/2017;1,1749;1
19/10/2017;1,1834;1
20/10/2017;1,1818;1
23/10/2017;1,174;1
24/10/2017;1,1761;1
25/10/2017;1,1785;1
26/10/2017;1,1753;1
27/10/2017;1,1605;1
30/10/2017;1,1612;1
31/10/2017;1,1638;1
1/11/2017;1,1612;1
2/11/2017;1,1645;1
3/11/2017;1,1657;1
6/11/2017;1,159;1
7/11/2017;1,1562;1
8/11/2017;1,159;1
9/11/2017;1,163;1
10/11/2017;1,1654;1
13/11/2017;1,1656;1
14/11/2017;1,1745;1
15/11/2017;1,184;1
16/11/2017;1,1771;1
17/11/2017;1,1795;1
20/11/2017;1,1781;1
21/11/2017;1,1718;1
22/11/2017;1,1749;1
27/11/2017;1,1952;1
28/11/2017;1,1888;1
29/11/2017;1,1827;1
30/11/2017;1,1849;1
1/12/2017;1,1885;1
4/12/2017;1,1865;1
5/12/2017;1,1847;1
6/12/2017;1,1817;1
7/12/2017;1,1786;1
8/12/2017;1,1742;1
11/12/2017;1,1796;1
12/12/2017;1,1766;1
13/12/2017;1,1736;1
14/12/2017;1,1845;1
15/12/2017;1,1806;1
18/12/2017;1,1795;1
19/12/2017;1,1823;1
20/12/2017;1,1845;1
21/12/2017;1,1859;1
22/12/2017;1,1853;1
26/12/2017;;1
27/12/2017;1,1895;1
28/12/2017;1,1934;1
29/12/2017;1,1993;1
