;Date;Low;High;Close;Open
4527;2017-12-29;85,5;86,05;85,54;85,63
4526;2017-12-28;85,55;85,93;85,72;85,9
4525;2017-12-27;85,215;85,98;85,71;85,65
4524;2017-12-26;85,03;85,5346;85,4;85,31
4523;2017-12-22;84,92;85,63;85,51;85,4
4522;2017-12-21;85,4;86,1;85,5;86,05
4521;2017-12-20;84,71;86,3;85,52;86,2
4520;2017-12-19;85,27;86,35;85,83;86,35
4519;2017-12-18;86,23;87,4999;86,38;87,12
4518;2017-12-15;84,88;87,09;86,85;85,26
4517;2017-12-14;84,53;85,8739;84,69;85,43
4516;2017-12-13;85,17;86,0;85,35;85,74
4515;2017-12-12;85,08;86,05;85,58;85,31
4514;2017-12-11;84,12;85,37;85,23;84,29
4513;2017-12-08;83,33;84,58;84,16;83,63
4512;2017-12-07;82,0;82,8;82,49;82,54
4511;2017-12-06;81,43;83,14;82,78;81,55
4510;2017-12-05;80,9801;82,68;81,59;81,34
4509;2017-12-04;80,7;84,4299;81,08;84,42
4508;2017-12-01;83,22;84,81;84,26;83,6
4507;2017-11-30;83,34;84,52;84,17;83,51
4506;2017-11-29;83,175;84,9172;83,34;84,71
4505;2017-11-28;84,02;85,06;84,88;84,07
4504;2017-11-27;83,3;83,98;83,87;83,31
4503;2017-11-24;82,78;83,43;83,26;83,01
4502;2017-11-22;83,04;83,9;83,11;83,83
4501;2017-11-21;82,74;83,84;83,72;82,74
4500;2017-11-20;82,25;82,59;82,53;82,4
4499;2017-11-17;82,24;83,12;82,4;83,12
4498;2017-11-16;82,94;83,42;83,2;83,1
4497;2017-11-15;82,69;83,69;82,98;83,47
4496;2017-11-14;82,98;84,1;84,05;83,5
4495;2017-11-13;83,46;83,94;83,93;83,66
4494;2017-11-10;83,23;84,095;83,87;83,79
4493;2017-11-09;82,9;84,27;84,09;84,11
4492;2017-11-08;83,83;84,61;84,56;84,14
4491;2017-11-07;83,93;84,9;84,27;84,77
4490;2017-11-06;84,0825;84,7;84,47;84,2
4489;2017-11-03;83,4;84,54;84,14;84,08
4488;2017-11-02;83,12;84,46;84,05;83,35
4487;2017-11-01;82,88;83,76;83,18;83,68
4486;2017-10-31;83,11;84,36;83,18;84,36
4485;2017-10-30;83,105;84,325;83,89;83,7
4484;2017-10-27;83,61;86,2;83,81;84,37
4483;2017-10-26;78,75;79,42;78,76;79,2
4482;2017-10-25;78,01;79,1;78,63;78,58
4481;2017-10-24;78,46;79,2;78,86;78,9
4480;2017-10-23;78,76;79,34;78,83;78,99
4479;2017-10-20;78,22;78,97;78,81;78,32
4478;2017-10-19;77,35;77,93;77,91;77,57
4477;2017-10-18;77,37;77,85;77,61;77,67
4476;2017-10-17;77,25;77,62;77,59;77,47
4475;2017-10-16;77,35;77,81;77,65;77,42
4474;2017-10-13;77,29;77,87;77,49;77,59
4473;2017-10-12;76,37;77,29;77,12;76,49
4472;2017-10-11;75,95;76,46;76,42;76,36
4471;2017-10-10;76,14;76,63;76,29;76,33
4470;2017-10-09;75,86;76,55;76,29;75,97
4469;2017-10-06;75,54;76,03;76,0;75,67
4468;2017-10-05;74,96;76,12;75,97;75,22
4467;2017-10-04;73,71;74,72;74,69;74,0
4466;2017-10-03;74,195;74,88;74,26;74,67
4465;2017-10-02;74,295;75,01;74,61;74,71
4464;2017-09-29;73,88;74,535;74,49;73,94
4463;2017-09-28;73,31;73,97;73,87;73,54
4462;2017-09-27;73,17;74,17;73,85;73,55
4461;2017-09-26;72,99;73,81;73,26;73,67
4460;2017-09-25;72,92;74,25;73,26;74,09
4459;2017-09-22;73,85;74,51;74,41;73,99
4458;2017-09-21;74,11;75,24;74,21;75,11
4457;2017-09-20;74,31;75,55;74,94;75,35
4456;2017-09-19;75,01;75,71;75,44;75,21
4455;2017-09-18;75,04;75,97;75,16;75,23
4454;2017-09-15;74,07;75,39;75,31;74,83
4453;2017-09-14;74,52;75,49;74,77;75,0
4452;2017-09-13;74,55;75,23;75,21;74,93
4451;2017-09-12;74,37;75,24;74,68;74,76
4450;2017-09-11;74,31;74,945;74,76;74,31
4449;2017-09-08;73,84;74,44;73,98;74,33
4448;2017-09-07;73,6;74,6;74,34;73,68
4447;2017-09-06;73,35;74,04;73,4;73,74
4446;2017-09-05;72,98;73,89;73,61;73,34
4445;2017-09-01;73,64;74,74;73,94;74,71
4444;2017-08-31;73,8;74,96;74,77;74,03
4443;2017-08-30;72,8293;74,2099;74,01;73,01
4442;2017-08-29;72,05;73,16;73,05;72,25
4441;2017-08-28;72,55;73,09;72,83;73,06
4440;2017-08-25;72,48;73,35;72,82;72,86
4439;2017-08-24;72,07;72,86;72,69;72,74
4438;2017-08-23;72,53;73,15;72,72;72,96
4437;2017-08-22;72,35;73,24;73,16;72,35
4436;2017-08-21;71,7;72,48;72,15;72,47
4435;2017-08-18;71,93;72,84;72,49;72,27
4434;2017-08-17;72,4;73,87;72,4;73,58
4433;2017-08-16;73,17;74,1;73,65;73,34
4432;2017-08-15;73,04;73,59;73,22;73,59
4431;2017-08-14;72,95;73,72;73,59;73,06
4430;2017-08-11;71,28;72,7;72,5;71,61
4429;2017-08-10;71,35;72,19;71,41;71,9
4428;2017-08-09;72,05;72,51;72,47;72,25
4427;2017-08-08;71,75;73,13;72,79;72,09
4426;2017-08-07;72,26;72,9;72,4;72,8
4425;2017-08-04;72,24;73,04;72,68;72,4
4424;2017-08-03;71,845;72,44;72,15;72,19
4423;2017-08-02;71,445;72,56;72,26;72,55
4422;2017-08-01;72,49;73,42;72,58;73,1
4421;2017-07-31;72,41;73,44;72,7;73,3
4420;2017-07-28;72,54;73,31;73,04;72,67
4419;2017-07-27;72,32;74,42;73,16;73,76
4418;2017-07-26;73,81;74,38;74,05;74,34
4417;2017-07-25;73,5;74,31;74,19;73,8
4416;2017-07-24;73,13;73,75;73,6;73,53
4415;2017-07-21;73,17;74,29;73,79;73,45
4414;2017-07-20;73,28;74,3;74,22;74,18
4413;2017-07-19;73,45;74,04;73,86;73,5
4412;2017-07-18;72,66;73,39;73,3;73,09
4411;2017-07-17;72,72;73,45;73,35;72,8
4410;2017-07-14;71,96;73,27;72,78;72,24
4409;2017-07-13;71,31;72,0399;71,77;71,5
4408;2017-07-12;70,55;71,28;71,15;70,69
4407;2017-07-11;69,75;70,68;69,99;70,0
4406;2017-07-10;69,2;70,25;69,98;69,46
4405;2017-07-07;68,7;69,84;69,46;68,7
4404;2017-07-06;68,12;68,78;68,57;68,27
4403;2017-07-05;68,22;69,44;69,08;68,255
4402;2017-07-03;68,02;69,6;68,17;69,33
4401;2017-06-30;68,74;69,38;68,93;68,78
4400;2017-06-29;68,09;69,49;68,49;69,38
4399;2017-06-28;68,79;69,841;69,8;69,21
4398;2017-06-27;69,18;70,18;69,21;70,11
4397;2017-06-26;70,445;71,71;70,53;71,4
4396;2017-06-23;69,92;71,25;71,21;70,09
4395;2017-06-22;69,71;70,59;70,26;70,54
4394;2017-06-21;69,94;70,62;70,27;70,21
4393;2017-06-20;69,87;70,87;69,91;70,82
4392;2017-06-19;70,35;70,945;70,87;70,5
4391;2017-06-16;69,22;70,0252;70,0;69,73
4390;2017-06-15;68,8;70,21;69,9;69,27
4389;2017-06-14;69,43;71,1;70,27;70,91
4388;2017-06-13;69,96;70,82;70,65;70,02
4387;2017-06-12;68,13;69,94;69,78;69,25
4386;2017-06-09;68,59;72,08;70,32;72,035
4385;2017-06-08;71,5;72,52;71,95;72,51
4384;2017-06-07;71,95;72,77;72,39;72,635
4383;2017-06-06;72,27;72,62;72,52;72,3
4382;2017-06-05;71,81;72,89;72,28;71,97
4381;2017-06-02;70,24;71,86;71,76;70,44
4380;2017-06-01;69,451;70,61;70,1;70,24
4379;2017-05-31;69,81;70,74;69,84;70,53
4378;2017-05-30;69,77;70,41;70,41;69,79
4377;2017-05-26;69,52;70,22;69,96;69,8
4376;2017-05-25;68,91;69,88;69,62;68,97
4375;2017-05-24;68,45;68,88;68,77;68,87
4374;2017-05-23;68,38;68,75;68,68;68,72
4373;2017-05-22;67,5;68,5;68,45;67,89
4372;2017-05-19;67,43;68,095;67,69;67,5
4371;2017-05-18;67,14;68,13;67,71;67,4
4370;2017-05-17;67,43;69,1;67,48;68,89
4369;2017-05-16;68,16;69,44;69,41;68,23
4368;2017-05-15;67,57;68,48;68,43;68,14
4367;2017-05-12;68,04;68,61;68,38;68,61
4366;2017-05-11;68,12;68,73;68,46;68,36
4365;2017-05-10;68,92;69,56;69,31;68,99
4364;2017-05-09;68,68;69,28;69,04;68,86
4363;2017-05-08;68,42;69,05;68,94;68,97
4362;2017-05-05;68,485;69,03;69,0;68,9
4361;2017-05-04;68,64;69,08;68,81;69,03
4360;2017-05-03;68,71;69,38;69,08;69,38
4359;2017-05-02;69,13;69,71;69,3;69,71
4358;2017-05-01;68,5;69,55;69,41;68,68
4357;2017-04-28;67,69;69,14;68,46;68,91
4356;2017-04-27;67,58;68,38;68,27;68,15
4355;2017-04-26;67,62;68,31;67,83;68,08
4354;2017-04-25;67,6;68,04;67,92;67,9
4353;2017-04-24;67,1;67,66;67,53;67,48
4352;2017-04-21;65,45;66,7;66,4;65,67
4351;2017-04-20;65,14;65,75;65,5;65,46
4350;2017-04-19;64,89;65,75;65,04;65,65
4349;2017-04-18;65,16;65,71;65,39;65,33
4348;2017-04-17;65,01;65,49;65,48;65,04
4347;2017-04-13;64,95;65,86;64,95;65,29
4346;2017-04-12;65,11;65,51;65,23;65,42
4345;2017-04-11;64,85;65,61;65,48;65,6
4344;2017-04-10;65,36;65,82;65,53;65,61
4343;2017-04-07;65,44;65,96;65,68;65,85
4342;2017-04-06;65,48;66,055;65,73;65,6
4341;2017-04-05;65,4443;66,35;65,56;66,3
4340;2017-04-04;65,28;65,81;65,73;65,39
4339;2017-04-03;65,19;65,94;65,55;65,81
4338;2017-03-31;65,45;66,19;65,86;65,65
4337;2017-03-30;65,36;65,98;65,71;65,42
4336;2017-03-29;64,9475;65,5;65,47;65,12
4335;2017-03-28;64,65;65,47;65,29;64,96
4334;2017-03-27;64,35;65,22;65,1;64,63
4333;2017-03-24;64,76;65,45;64,98;65,36
4332;2017-03-23;64,765;65,235;64,87;64,94
4331;2017-03-22;64,12;65,14;65,03;64,12
4330;2017-03-21;64,13;65,5;64,21;65,19
4329;2017-03-20;64,72;65,175;64,93;64,91
4328;2017-03-17;64,68;65,24;64,87;64,91
4327;2017-03-16;64,3;64,76;64,64;64,75
4326;2017-03-15;64,25;64,92;64,75;64,55
4325;2017-03-14;64,15;64,55;64,41;64,53
4324;2017-03-13;64,57;65,195;64,71;65,01
4323;2017-03-10;64,75;65,26;64,93;65,11
4322;2017-03-09;64,48;65,2;64,73;65,19
4321;2017-03-08;64,25;65,085;64,99;64,26
4320;2017-03-07;64,19;64,775;64,4;64,19
4319;2017-03-06;63,81;64,56;64,27;63,97
4318;2017-03-03;63,62;64,28;64,25;63,99
4317;2017-03-02;63,88;64,75;64,01;64,69
4316;2017-03-01;64,0218;64,99;64,94;64,13
4315;2017-02-28;63,76;64,2;63,98;64,08
4314;2017-02-27;64,045;64,54;64,23;64,54
4313;2017-02-24;64,135;64,8;64,62;64,53
4312;2017-02-23;64,195;64,7285;64,62;64,42
4311;2017-02-22;64,05;64,39;64,36;64,33
4310;2017-02-21;64,45;64,95;64,49;64,61
4309;2017-02-17;64,3;64,69;64,62;64,47
4308;2017-02-16;64,44;65,24;64,52;64,74
4307;2017-02-15;64,155;64,57;64,53;64,5
4306;2017-02-14;64,02;64,72;64,57;64,41
4305;2017-02-13;64,13;64,86;64,72;64,24
4304;2017-02-10;63,975;64,3;64,0;64,25
4303;2017-02-09;63,32;64,435;64,06;63,52
4302;2017-02-08;63,22;63,81;63,34;63,57
4301;2017-02-07;63,23;63,78;63,43;63,74
4300;2017-02-06;63,14;63,65;63,64;63,5
4299;2017-02-03;63,07;63,7;63,68;63,5
4298;2017-02-02;62,75;63,41;63,17;63,25
4297;2017-02-01;63,47;64,62;63,58;64,355
4296;2017-01-31;64,26;65,15;64,65;64,86
4295;2017-01-30;64,8;65,79;65,13;65,69
4294;2017-01-27;64,89;65,91;65,78;65,39
4293;2017-01-26;63,55;64,535;64,27;64,12
4292;2017-01-25;63,45;64,1;63,68;63,95
4291;2017-01-24;62,94;63,735;63,52;63,2
4290;2017-01-23;62,57;63,1159;62,96;62,7
4289;2017-01-20;62,37;62,82;62,74;62,67
4288;2017-01-19;62,195;62,98;62,3;62,24
4287;2017-01-18;62,12;62,7;62,5;62,67
4286;2017-01-17;62,03;62,7;62,53;62,68
4285;2017-01-13;62,35;62,865;62,7;62,62
4284;2017-01-12;61,95;63,4;62,61;63,06
4283;2017-01-11;62,43;63,23;63,19;62,61
4282;2017-01-10;62,28;63,07;62,62;62,73
4281;2017-01-09;62,54;63,08;62,64;62,76
4280;2017-01-06;62,04;63,15;62,84;62,3
4279;2017-01-05;62,03;62,66;62,3;62,19
4278;2017-01-04;62,12;62,75;62,3;62,48
4277;2017-01-03;62,125;62,84;62,58;62,79
